"ozone","temp","invHt","press","vis","milPress","hum","invTemp","wind"
3,0.220588235294118,0.528124360809982,0.25,0.714285714285714,0.619047619047619,0.121621621621622,0.313725490196078,0.363636363636364
5,0.294117647058824,0.0979750460216813,0.255681818181818,0.285714285714286,0.603174603174603,0.243243243243243,0.428571428571429,0.272727272727273
5,0.426470588235294,0.273880139087748,0.534090909090909,0.171428571428571,0.698412698412698,0.432432432432432,0.459383753501401,0.272727272727273
6,0.147058823529412,0.298015954182859,0.477272727272727,0.171428571428571,0.634920634920635,0.675675675675676,0.408963585434174,0.363636363636364
4,0.294117647058824,0.515442830844754,0.204545454545455,0.285714285714286,0.746031746031746,0,0.414565826330532,0.545454545454545
4,0.441176470588235,0.0906115770096134,0.232954545454545,0.714285714285714,0.746031746031746,0.0810810810810811,0.579831932773109,0.272727272727273
6,0.235294117647059,0.403354469216609,0.522727272727273,0.342857142857143,0.603174603174603,0.72972972972973,0.389355742296919,0.272727272727273
7,0.279411764705882,0.520147269380241,0.380681818181818,0.342857142857143,0.603174603174603,0.540540540540541,0.324929971988796,0.272727272727273
4,0.426470588235294,1,0.284090909090909,0.342857142857143,0.714285714285714,0.108108108108108,0.327731092436975,0.727272727272727
6,0.382352941176471,0,0.443181818181818,0.428571428571429,0.634920634920635,0.337837837837838,0.554621848739496,0.272727272727273
5,0.382352941176471,0.0779300470443854,0.142045454545455,0.114285714285714,0.698412698412698,0.189189189189189,0.57703081232493,0.545454545454545
4,0.426470588235294,1,0.142045454545455,0.571428571428571,0.73015873015873,0,0.448179271708683,0.545454545454545
4,0.485294117647059,0.232767437103702,0.0909090909090909,0.714285714285714,0.80952380952381,0,0.750700280112045,0.272727272727273
7,0.529411764705882,1,0.0113636363636364,0.571428571428571,0.873015873015873,0,0.591036414565826,0.181818181818182
5,0.573529411764706,1,0.164772727272727,0.571428571428571,0.825396825396825,0,0.557422969187675,0.454545454545455
9,0.617647058823529,0.107997545510329,0.397727272727273,0.428571428571429,0.73015873015873,0.540540540540541,0.599439775910364,0.363636363636364
4,0.397058823529412,0.0576805072611986,0.00568181818181818,0.0285714285714286,0.571428571428571,0.72972972972973,0.658263305322129,0.454545454545455
3,0.426470588235294,1,0.0170454545454545,0.4,0.634920634920635,0,0.42296918767507,0.363636363636364
4,0.426470588235294,1,0.0625,0.714285714285714,0.698412698412698,0,0.380952380952381,0.272727272727273
4,0.485294117647059,1,0.244318181818182,0.571428571428571,0.650793650793651,0.0945945945945946,0.380952380952381,0.363636363636364
5,0.647058823529412,0.599918183677644,0.494318181818182,0.428571428571429,0.603174603174603,0.540540540540541,0.394957983193277,0.454545454545455
6,0.382352941176471,0.722029044794437,0.522727272727273,0.4,0.523809523809524,0.689189189189189,0.313725490196078,0.454545454545455
9,0.411764705882353,0,0.335227272727273,0.142857142857143,0.571428571428571,0.608108108108108,0.49859943977591,0.272727272727273
6,0.5,0.0994068316629168,0.0965909090909091,0.2,0.793650793650794,0,0.669467787114846,0.454545454545455
6,0.573529411764706,0.343628553896502,0.306818181818182,0.428571428571429,0.777777777777778,0,0.579831932773109,0.454545454545455
11,0.558823529411765,0.139496829617509,0.306818181818182,0.342857142857143,0.746031746031746,0.121621621621622,0.596638655462185,0.272727272727273
10,0.558823529411765,0.0859071384741256,0.176136363636364,0.114285714285714,0.761904761904762,0.175675675675676,0.753501400560224,0.181818181818182
7,0.544117647058823,0.0629985682143588,0.227272727272727,0.342857142857143,0.793650793650794,0,0.750700280112045,0.454545454545455
12,0.558823529411765,0.144201268152997,0.352272727272727,0.0171428571428571,0.714285714285714,0.77027027027027,0.602240896358543,0.727272727272727
9,0.426470588235294,0.724074452853344,0.744318181818182,0.0857142857142857,0.555555555555556,0.675675675675676,0.336134453781513,0.272727272727273
2,0.161764705882353,1,0.789772727272727,0.285714285714286,0.428571428571429,0.77027027027027,0.162464985994398,0.272727272727273
3,0.0882352941176471,1,0.551136363636364,0.571428571428571,0.142857142857143,0.608108108108108,0.0756302521008403,0.545454545454545
3,0.0735294117647059,0.251585191245653,0.494318181818182,0.171428571428571,0.0476190476190476,0.581081081081081,0.285714285714286,0.636363636363636
2,0.161764705882353,1,0.392045454545455,1,0.253968253968254,0.716216216216216,0.173669467787115,0.818181818181818
3,0.25,0.754346492125179,0.289772727272727,0.714285714285714,0.444444444444444,0.77027027027027,0.285714285714286,0.636363636363636
3,0.176470588235294,1,0.573863636363636,1,0.26984126984127,0.716216216216216,0.165266106442577,1
4,0.235294117647059,1,0.386363636363636,0.857142857142857,0.380952380952381,0.716216216216216,0.156862745098039,0.909090909090909
6,0.308823529411765,1,0.221590909090909,0.857142857142857,0.603174603174603,0.175675675675676,0.285714285714286,0.272727272727273
8,0.382352941176471,1,0.346590909090909,0.857142857142857,0.571428571428571,0.418918918918919,0.280112044817927,0.454545454545455
6,0.441176470588235,0.467784823072203,0.511363636363636,0.571428571428571,0.603174603174603,0.905405405405405,0.408963585434174,0.363636363636364
4,0.235294117647059,1,0.681818181818182,0.285714285714286,0.523809523809524,0.567567567567568,0.137254901960784,0.454545454545455
3,0.235294117647059,0.852935160564533,0.630681818181818,0.714285714285714,0.46031746031746,0.581081081081081,0.215686274509804,0.454545454545455
7,0.352941176470588,0.214767846185314,0.545454545454545,0.571428571428571,0.650793650793651,0.635135135135135,0.394957983193277,0.454545454545455
11,0.294117647058824,0.545510329310698,0.403409090909091,0.571428571428571,0.714285714285714,0.662162162162162,0.439775910364146,0.454545454545455
13,0.441176470588235,0.0677030067498466,0.539772727272727,0.114285714285714,0.714285714285714,0.851351351351351,0.478991596638655,0.272727272727273
6,0.235294117647059,1,0.221590909090909,0.857142857142857,0.587301587301587,0.027027027027027,0.2296918767507,0.727272727272727
5,0.294117647058824,1,0.0909090909090909,0.857142857142857,0.603174603174603,0,0.254901960784314,0.272727272727273
4,0.382352941176471,1,0.147727272727273,0.857142857142857,0.650793650793651,0,0.336134453781513,1
4,0.411764705882353,1,0.431818181818182,0.857142857142857,0.587301587301587,0,0.336134453781513,0.636363636363636
6,0.367647058823529,1,0.528409090909091,0.857142857142857,0.507936507936508,0.662162162162162,0.226890756302521,0.454545454545455
10,0.514705882352941,0.251585191245653,0.5,0.428571428571429,0.634920634920635,0.594594594594595,0.492997198879552,0.545454545454545
15,0.426470588235294,0.246880752710166,0.403409090909091,0.428571428571429,0.666666666666667,0.472972972972973,0.57703081232493,0.272727272727273
23,0.411764705882353,0.15831458375946,0.369318181818182,0.228571428571429,0.666666666666667,0.378378378378378,0.61624649859944,0.272727272727273
17,0.411764705882353,0.050930660666803,0.409090909090909,0.114285714285714,0.666666666666667,0.5,0.61624649859944,0.272727272727273
7,0.279411764705882,0.692575168746165,0.806818181818182,0.114285714285714,0.555555555555556,0.567567567567568,0.341736694677871,0.636363636363636
